id,authors,original_title,title,language_code
1993,Anne Rice,The Vampire Armand,"The Vampire Armand (The Vampire Chronicles, #6)",en-US
1994,Abbi Glines,"Forever Too Far (Too Far, #3)","Forever Too Far (Rosemary Beach, #3; Too Far, #3)",eng
1995,George R.R. Martin,A Storm of Swords: Part 1 Steel and Snow,"A Storm of Swords: Steel and Snow (A Song of Ice and Fire, #3: Part 1 of 2)",eng
1996,"Carlo Collodi, John Boyne, Monteiro Lobato, Unknown",Le avventure di Pinocchio,Pinocchio,eng
1997,Robin LaFevers,Grave Mercy,"Grave Mercy (His Fair Assassin, #1)",eng
1998,Stormie Omartian,The Power of a Praying Wife,The Power of a Praying Wife,
1999,Henry Miller,Tropic of Cancer,Tropic of Cancer,eng
2000,Wally Lamb,The Hour I First Believed,The Hour I First Believed,en-US
2001,Brian Sibley,Harry Potter: Film Wizardry,Harry Potter: Film Wizardry,eng
2002,"Leo Tolstoy, Aylmer Maude",Смерть Ивана Ильича,The Death of Ivan Ilych,eng
2003,Paula McLain,Circling the Sun,Circling the Sun,eng
2004,John Steinbeck,Travels with Charley: In Search of America,Travels with Charley: In Search of America,eng
2005,Alice Hoffman,The Dovekeepers,The Dovekeepers,eng
2006,Scott Lynch,The Republic of Thieves,"The Republic of Thieves (Gentleman Bastard, #3)",eng
2007,Cornelia Funke,Herr der Diebe,The Thief Lord,eng
2008,Susan Ee,World After,"World After (Penryn & the End of Days, #2)",eng
2009,Dean Koontz,Brother Odd,"Brother Odd (Odd Thomas, #3)",eng
2010,John Howard Griffin,Black Like Me,Black Like Me,en-US
2011,Chuck Palahniuk,Snuff,Snuff,en-US
2012,James Patterson,Jack & Jill,"Jack & Jill (Alex Cross, #3)",eng
2013,Ian McEwan,Saturday,Saturday,en-US
2014,Jonathan Kellerman,When the Bough Breaks,"When the Bough Breaks (Alex Delaware, #1)",eng
2015,Robert James Waller,The Bridges of Madison County,The Bridges of Madison County,eng
2016,Lee Child,Gone Tomorrow,"Gone Tomorrow (Jack Reacher, #13)",eng
2017,Michael Scott,The Sorceress,"The Sorceress (The Secrets of the Immortal Nicholas Flamel, #3)",eng
2018,Hilary Mantel,Bring Up the Bodies,"Bring Up the Bodies (Thomas Cromwell, #2)",en-US
2019,Rick Riordan,The Maze of Bones ,"The Maze of Bones  (The 39 Clues, #1)",eng
2020,Mark Bittman,How to Cook Everything: Simple Recipes for Great Food,How to Cook Everything: Simple Recipes for Great Food,en-US
2021,Stephenie Meyer,"The Twilight Collection (Twilight, #1-3)","The Twilight Collection (Twilight, #1-3)",eng
2022,Wassily Kandinsky,Über das Geistige in der Kunst,Concerning the Spiritual in Art,eng
2023,Winston Groom,Forrest Gump,"Forrest Gump (Forrest Gump, #1)",eng
2024,"Albert Camus, Justin O'Brien",La Chute,The Fall,eng
2025,Tom Robbins,Even Cowgirls Get the Blues,Even Cowgirls Get the Blues,eng
2026,"Wilkie Collins, Carolyn G. Heilbrun",The Moonstone,The Moonstone,eng
2027,"Italo Calvino, William Weaver",Se una notte d'inverno un viaggiatore,If on a Winter's Night a Traveler,eng
2028,"Gregory Maguire, Douglas Smith",Son of a Witch,"Son of a Witch (The Wicked Years, #2)",eng
2029,Ian McEwan,On Chesil Beach,On Chesil Beach,eng
2030,Sue Grafton,"""M"" is for Malice","M is for Malice (Kinsey Millhone, #13)",en-GB
2031,Patricia Cornwell,Point of Origin,"Point of Origin (Kay Scarpetta, #9)",en-GB
2032,Patricia MacLachlan,"Sarah, Plain and Tall","Sarah, Plain and Tall (Sarah, Plain and Tall, #1)",eng
2033,يوسف زيدان,عزازيل,عزازيل,ara
2034,Christopher Moore,Bloodsucking Fiends,"Bloodsucking Fiends (A Love Story, #1)",eng
2035,"David Sedaris, Ian Falconer",Squirrel Seeks Chipmunk: A Modest Bestiary,Squirrel Seeks Chipmunk: A Modest Bestiary,eng
2036,Brené Brown,The Gifts of Imperfection,The Gifts of Imperfection: Let Go of Who You Think You're Supposed to Be and Embrace Who You Are,eng
2037,Ann Patchett,Commonwealth,Commonwealth,eng
2038,Melissa de la Cruz,The Van Alen Legacy ,"The Van Alen Legacy (Blue Bloods, #4)",en-US
2039,Robert McCloskey,Blueberries for Sal,Blueberries for Sal,eng
2040,Colleen Hoover,Losing Hope,"Losing Hope (Hopeless, #2)",eng
2041,Stephen King,Lisey's Story,Lisey's Story,eng
2042,Eben Alexander,Proof of Heaven: A Neurosurgeon's Journey Into the Afterlife,Proof of Heaven: A Neurosurgeon's Journey into the Afterlife,en-US
2043,Terry Pratchett,Men at Arms,"Men at Arms (Discworld, #15; City Watch #2)",eng
2044,A.J. Jacobs,The Year of Living Biblically: One Man's Humble Quest to Follow the Bible As Literally As Possible,The Year of Living Biblically: One Man's Humble Quest to Follow the Bible as Literally as Possible,en-US
2045,Frank Herbert,God Emperor of Dune,God Emperor of Dune (Dune Chronicles #4),eng
2046,Emily Giffin,,The One & Only,eng
2047,Jean M. Auel,The Valley of Horses,"The Valley of Horses (Earth's Children, #2)",en-US
2048,Harlan Coben,Six Years,Six Years,eng
2049,Beverly Cleary,Ramona the Pest,"Ramona the Pest (Ramona, #2)",
2050,L.J. Smith,"Night World, No. 2","Night World, No. 2 (Night World, #4-6)",en-CA
2051,Katherine Dunn,Geek Love,Geek Love,eng
2052,"Sophocles, Dudley Fitts, Elena Bono, Robert Fitzgerald",,"The Oedipus Cycle: Oedipus Rex/Oedipus at Colonus/Antigone (The Theban Plays, #1–3)",en-US
2053,Robert Penn Warren,All the King’s Men,All the King's Men,eng
2054,Ann Brashares,Girls in Pants: The Third Summer of the Sisterhood,"Girls in Pants: The Third Summer of the Sisterhood (Sisterhood, #3)",eng
2055,Harlan Coben,The Woods,The Woods,eng
2056,Robert Jordan,New Spring,"New Spring (Wheel of Time, #0)",eng
2057,John Grisham,The Litigators,The Litigators,eng
2058,"Fredrik Backman, Henning Koch",Min mormor hälsar och säger förlåt,My Grandmother Asked Me to Tell You She's Sorry,eng
2059,Vince Flynn,American Assassin,"American Assassin (Mitch Rapp, #1)",eng
2060,Brené Brown,"Daring Greatly : How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead","Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",
2061,Hannah Kent,Burial Rites,Burial Rites,eng
2062,Sarah Waters,Fingersmith,Fingersmith,eng
2063,Peter Mayle,A Year in Provence,A Year in Provence,eng
2064,"Kate DiCamillo, Bagram Ibatoulline",The Miraculous Journey of Edward Tulane,The Miraculous Journey of Edward Tulane,eng
2065,Jojo Moyes,The Last Letter From Your Lover,The Last Letter from Your Lover,eng
2066,Martin Cruz Smith,Gorky Park,"Gorky Park (Arkady Renko, #1)",eng
2067,Tara Conklin,The House Girl,The House Girl,eng
2068,Karen Hesse,Out of the Dust,Out of the Dust,
2069,Meg Cabot,Queen of Babble,"Queen of Babble (Queen of Babble, #1)",eng
2070,Jeff Kinney,The Third Wheel,"The Third Wheel (Diary of a Wimpy Kid, #7)",en-US
2071,Elizabeth Wein,Code Name Verity,"Code Name Verity (Code Name Verity, #1)",eng
2072,Ellen Hopkins," Burned (Burned, #1)","Burned (Burned, #1)",en-US
2073,Sidney Sheldon,Master of the Game,Master of the Game,eng
2074,Patricia Cornwell,The Body Farm,"The Body Farm (Kay Scarpetta, #5)",eng
2075,Meg Cabot,The Boy Next Door (Boy #1),"The Boy Next Door (Boy, #1)",eng
2076,"Anonymous, N.K. Sandars",Shūtur eli sharrī,The Epic of Gilgamesh,eng
2077,Anna Godbersen,The Luxe,"The Luxe (Luxe, #1)",en-US
2078,Beatrix Potter,The Complete Tales of Beatrix Potter,The Complete Tales,
2079,Philip Roth,American Pastoral,"American Pastoral (The American Trilogy, #1)",eng
2080,Elizabeth Gilbert,Big Magic: Creative Living Beyond Fear,Big Magic: Creative Living Beyond Fear,eng
2081,Jim Butcher,Skin Game,"Skin Game (The Dresden Files, #15)",eng
2082,Anonymous,القرآن‎‎ [al-Qurʾān],The Qur'an / القرآن الكريم,ara
2083,Gena Showalter,The Darkest Night,The Darkest Night (Lords of the Underworld #1),eng
2084,Neal Stephenson,Anathem,Anathem,eng
2085,Barbara Kingsolver,The Lacuna,The Lacuna,eng
2086,Terry Pratchett,Hogfather,"Hogfather (Discworld, #20; Death, #4)",eng
2087,Elizabeth Berg,Open House,Open House,eng
2088,Jeannette Walls,The Silver Star,The Silver Star,eng
2089,John Irving,The Hotel New Hampshire,The Hotel New Hampshire,eng
2090,Laurell K. Hamilton,The Laughing Corpse,"The Laughing Corpse (Anita Blake, Vampire Hunter, #2)",en-US
2091,Nora Roberts,"Key of Light (Key Trilogy, #1)","Key of Light (Key Trilogy, #1)",eng
2092,Ellen Hopkins,Identical,Identical,eng
2093,"Roberto Aguirre-Sacasa, Mike Perkins, Laura       Martin, Stephen King",,The Stand: Soul Survivors,en-GB
2094,"Janet Evanovich, Lorelei King",Smokin' Seventeen,"Smokin' Seventeen (Stephanie Plum, #17)",eng
2095,Dr. Seuss,The Sneetches and Other Stories,The Sneetches and Other Stories,en-US
2096,"Bill Martin Jr., Eric Carle","Polar Bear, Polar Bear, What Do You Hear?","Polar Bear, Polar Bear, What Do You Hear?",eng
2097,Hermann Hesse,Demian: Die Geschichte einer Jugend,Demian. Die Geschichte von Emil Sinclairs Jugend,ger
2098,Kurt Vonnegut Jr.,"God Bless You, Mr Rosewater or Pearls before Swine","God Bless You, Mr. Rosewater",eng
2099,"Yoshiki Nakamura, Tomo Kimura",スキップ・ビート! 1 ,"Skip Beat!, Vol. 01",eng
2100,Frank Miller,The Dark Knight Returns,Batman: The Dark Knight Returns #1,eng
2101,"J.K. Rowling, Mary GrandPré",Harry Potter Boxed Set Books 1-4,"The Harry Potter Collection 1-4 (Harry Potter, #1-4)",eng
2102,Paolo Bacigalupi,The Windup Girl,The Windup Girl,eng
2103,"Oscar Wilde, Richard Allen Cave",,The Importance of Being Earnest and Other Plays,eng
2104,Stephanie Perkins,Isla and the Happily Ever After,"Isla and the Happily Ever After (Anna and the French Kiss, #3)",eng
2105,Ilona Andrews,Magic Bites,"Magic Bites (Kate Daniels, #1)",eng
2106,Jodi Ellen Malpas,This Man Confessed,"This Man Confessed (This Man, #3)",eng
2107,"Irène Némirovsky, Sandra Smith",Suite française ,Suite Française,
2108,"Vincent van Gogh, Ronald de Leeuw, Mark Roskill, Arnold J. Pomerans",The Letters of Vincent van Gogh,The Letters of Vincent van Gogh,en-GB
2109,Terry Pratchett,Sourcery,"Sourcery (Discworld, #5; Rincewind #3)",en-US
2110,Bryan Lee O'Malley,"Scott Pilgrim, Volume 2: Scott Pilgrim vs. The World","Scott Pilgrim, Volume 2: Scott Pilgrim vs. The World",
2111,"Grant Morrison, Dave McKean",Batman: Arkham Asylum - A Serious House on Serious Earth,Batman: Arkham Asylum - A Serious House on Serious Earth,eng
2112,Jenny Han,P.S. I Still Love You,"P.S. I Still Love You (To All the Boys I've Loved Before, #2)",eng
2113,David Baldacci,Memory Man,"Memory Man (Amos Decker, #1)",eng
2114,Hillary Jordan,Mudbound,Mudbound,eng
2115,Mark Bowden,Black Hawk Down,Black Hawk Down,en-US
2116,"V.E. Schwab, Victoria Schwab",A Darker Shade of Magic,"A Darker Shade of Magic (Shades of Magic, #1)",eng
2117,David Grann,The Lost City of Z: A Tale of Deadly Obsession in the Amazon,The Lost City of Z: A Tale of Deadly Obsession in the Amazon,eng
2118,Brandon Sanderson,Firefight,"Firefight (The Reckoners, #2)",eng
2119,Trudi Canavan,The Magicians' Guild,"The Magicians' Guild (Black Magician Trilogy, #1)",eng
2120,Michael Scott,The Necromancer: The Secrets of The Immortal Nicholas Flamel,"The Necromancer  (The Secrets of the Immortal Nicholas Flamel, #4)",eng
2121,Lee Child,61 Hours,"61 Hours (Jack Reacher, #14)",en-US
2122,Patricia McCormick,Cut,Cut,en-US
2123,"Roald Dahl, Quentin Blake",George's Marvellous Medicine,George's Marvellous Medicine,eng
2124,Jane Smiley,A Thousand Acres,A Thousand Acres,eng
2125,Lloyd Alexander,The Book of Three,"The Book of Three (The Chronicles of Prydain, #1)",en-US
2126,Patricia Briggs,Cry Wolf,"Cry Wolf (Alpha & Omega, #1)",en-US
2127,Ian Falconer,Olivia,Olivia,en-US
2128,Kent Haruf,Plainsong,"Plainsong (Plainsong, #1)",en-US
2129,Daniel Clowes,Ghost World,Ghost World,eng
2130,Amanda Hocking,Torn,"Torn (Trylle, #2)",en-US
2131,"Ivan Turgenev, George Reavy, Jane Costlow",Отцы и дѣти,Fathers and Sons,eng
2132,"Eliyahu M. Goldratt, Jeff Cox",The Goal,The Goal: A Process of Ongoing Improvement,en-US
2133,Geraldine Brooks,Caleb's Crossing,Caleb's Crossing,eng
2134,Claudia Gray,Evernight,"Evernight (Evernight, #1)",en-US
2135,Lee Child,Bad Luck and Trouble,"Bad Luck and Trouble (Jack Reacher, #11)",en-US
2136,Karen Joy Fowler,The Jane Austen Book Club,The Jane Austen Book Club,en-US
2137,Ian McEwan,The Children Act,The Children Act,eng
2138,Janet Evanovich,Sizzling Sixteen,"Sizzling Sixteen (Stephanie Plum, #16)",eng
2139,Ashlee Vance,"Elon Musk: Tesla, SpaceX, and the Quest for a Fantastic Future",Elon Musk: Inventing the Future,eng
2140,James S.A. Corey,Caliban's War,"Caliban's War (The Expanse, #2)",eng
2141,Rebecca Donovan,Barely Breathing,"Barely Breathing (Breathing, #2)",eng
2142,"Homer, Robert Fagles, Bernard Knox",Ἰλιάς ; Ὀδύσσεια,The Iliad/The Odyssey,eng
2143,"Mark Waid, Alex Ross, Elliot S. Maggin",Kingdom Come,Kingdom Come,eng
2144,Henri Charrière,Papillon ,Papillon,
2145,Sarah Waters,Tipping the Velvet,Tipping the Velvet,eng
2146,"Chris Colfer, Brandon Dorman","The Wishing Spell (The Land of Stories, #1)","The Wishing Spell (The Land of Stories, #1)",eng
2147,David Ebershoff,The 19th Wife,The 19th Wife,en-US
2148,Walter Dean Myers,Monster,Monster,eng
2149,George R.R. Martin,,"A Song of Ice and Fire (A Song of Ice and Fire, #1-4)",en-US
2150,Patricia Cornwell,Body of Evidence ,"Body of Evidence (Kay Scarpetta, #2)",en-US
2151,"Brian K. Vaughan, Fiona Staples",Saga #1,Saga #1,eng
2152,Sara Shepard,Perfect,"Perfect (Pretty Little Liars, #3)",eng
2153,Jessica Sorensen,The Secret of Ella and Micha,"The Secret of Ella and Micha (The Secret, #1)",eng
2154,Kevin Hearne,Hounded,"Hounded (The Iron Druid Chronicles, #1)",eng
2155,Stephen King,From a Buick 8,From a Buick 8,en-US
2156,Kim Stanley Robinson,Red Mars,"Red Mars (Mars Trilogy, #1)",en-US
2157,"Charlotte Perkins Gilman, Elaine Hedges",The Yellow Wall-paper. A story,The Yellow Wall-Paper,eng
2158,"H.G. Wells, Alfred MacAdam",The Time Machine and The Invisible Man,The Time Machine/The Invisible Man,
2159,Nora Roberts,Sea Swept,"Sea Swept (Chesapeake Bay Saga, #1)",en-US
2160,Brent Weeks,The Blinding Knife,"The Blinding Knife (Lightbringer, #2)",eng
2161,Morgan Matson,Since You've Been Gone,Since You've Been Gone,eng
2162,Steve Martin,,An Object of Beauty,en-US
2163,"Heidi Murkoff, Arlene Eisenberg, Sandee Hathaway",What to Expect When You're Expecting,What to Expect When You're Expecting,
2164,John Flanagan,The Icebound Land,"The Icebound Land (Ranger's Apprentice, #3)",eng
2165,Marian Keyes,Anybody Out There?,"Anybody Out There? (Walsh Family, #4)",
2166,"Peter Thiel, Blake  Masters","Zero to One: Notes on Start Ups, or How to Build the Future","Zero to One: Notes on Startups, or How to Build the Future",eng
2167,Sarah J. Maas,Empire of Storms,"Empire of Storms (Throne of Glass, #5)",eng
2168,"Charles Dickens, Katharine Kroeber Wiley",,"A Christmas Carol, The Chimes and The Cricket on the Hearth",
2169,Gillian Flynn,What Do You Do?,The Grownup,eng
2170,Neil Gaiman,Smoke and Mirrors: Short Fiction and Illusions,Smoke and Mirrors: Short Fiction and Illusions,eng
2171,Amish Tripathi,The Oath of the Vayuputras,"The Oath of the Vayuputras (Shiva Trilogy, #3)",eng
2172,Kurt Vonnegut Jr.,Welcome to the Monkey House,Welcome to the Monkey House,eng
2173,Jim Gaffigan,Dad Is Fat,Dad Is Fat,
2174,David McCullough,Truman,Truman,en-US
2175,Ron Chernow,Alexander Hamilton,Alexander Hamilton,eng
2176,"Dr. Seuss, Various",The Cat in the Hat and Other Dr. Seuss Favorites,The Cat in the Hat and Other Dr. Seuss Favorites,
2177,"Nikolai Gogol, Robert A. Maguire",Мёртвые ду́ши,Dead Souls,eng
2178,Elle Kennedy,The Deal,"The Deal (Off-Campus, #1)",eng
2179,Kiera Cass,The Crown,"The Crown (The Selection, #5)",eng
2180,David Baldacci,Zero Day,"Zero Day (John Puller, #1)",en-US
2181,"Arlene Mosel, Blair Lent",Tikki Tikki Tembo,Tikki Tikki Tembo,en-CA
2182,L.J. Smith,"Night World, No. 1","Night World, No. 1 (Night World, #1-3)",en-US
2183,Tina Reber,"Love Unscripted (Love, #1)","Love Unscripted (Love, #1)",en-US
2184,James Patterson,Pop Goes the Weasel,"Pop Goes the Weasel (Alex Cross, #5)",eng
2185,Penelope Douglas,Bully,"Bully (Fall Away, #1)",
2186,Alison Weir,The Six Wives of Henry VIII,The Six Wives of Henry VIII,en-US
2187,"Yevgeny Zamyatin, Clarence Brown",Мы,We,eng
2188,Barbara Kingsolver,Pigs in Heaven,Pigs in Heaven,eng
2189,John Scalzi,The Ghost Brigades,"The Ghost Brigades (Old Man's War, #2)",en-GB
2190,Alan Paton,"Cry, The Beloved Country","Cry, the Beloved Country",eng
2191,"Brian Froud, Alan Lee",Faeries,Faeries,
2192,Gregory Maguire,Confessions of an Ugly Stepsister,Confessions of an Ugly Stepsister,en-US
2193,Nick Hornby,How to Be Good,How to Be Good,
2194,Cassandra Clare,Lady Midnight,"Lady Midnight (The Dark Artifices, #1)",eng
2195,Cornelia Funke,Tintentod,"Inkdeath (Inkworld, #3)",eng
2196,Isaac Asimov,Foundation's Edge,Foundation's Edge (Foundation #4),eng
2197,Thomas Hardy,Jude the Obscure,Jude the Obscure,en-US
2198,David Eddings,Queen of Sorcery,"Queen of Sorcery (The Belgariad, #2)",en-US
2199,Shirley Jackson,The Lottery: Adventures of the Demon Lover,The Lottery and Other Stories,en-US
2200,Margaret Peterson Haddix,,"Into the Gauntlet (The 39 Clues, #10)",eng
2201,Aprilynne Pike,Wings ,"Wings (Wings, #1)",en-US
2202,Cecily von Ziegesar,Gossip Girl,"Gossip Girl (Gossip Girl, #1)",eng
2203,Frederick Forsyth,The Odessa File,The Odessa File,en-US
2204,Elizabeth Strout,The Burgess Boys,The Burgess Boys,eng
2205,Yuval Noah Harari,קיצור תולדות האנושות‎‎,Sapiens: A Brief History of Humankind,eng
2206,"Chelsea Handler, Johnny Kansas, Stephanie Stehling, Heather McDonald, Roy Handler, Brad Wollack, Amber Mazzola, Josh Wolf, Shoshanna Handler, Eva Magdalenski, Amy Meyer, Glen Handler, Dave Mallow, Sarah Colonna",,Lies That Chelsea Handler Told Me,eng
2207,Tana French,Broken Harbor,"Broken Harbour (Dublin Murder Squad, #4)",eng
2208,M. Leighton,Down to You,"Down to You (The Bad Boys, #1)",eng
2209,William Shakespeare,The Complete Works,The Complete Works,eng
2210,Ursula K. Le Guin,The Dispossessed,The Dispossessed,eng
2211,"Henning Mankell, Steven T. Murray",Mördare utan ansikte,"Faceless Killers (Kurt Wallander, #1)",eng
2212,John Grisham,The Confession,The Confession,eng
2213,Dean Koontz,Lightning,Lightning,eng
2214,"James Patterson, Keith David, Anthony Heald",Cat & Mouse,"Cat and Mouse (Alex Cross, #4)",en-GB
2215,Judy Blume,Superfudge,"Superfudge (Fudge, #3)",eng
2216,Shari Lapena,The Couple Next Door,The Couple Next Door,eng
2217,Cynthia Hand,Hallowed,"Hallowed (Unearthly, #2)",eng
2218,Ann Leckie,Ancillary Justice,Ancillary Justice (Imperial Radch #1),eng
2219,Terry Goodkind,The Pillars of Creation,"The Pillars of Creation (Sword of Truth, #7)",en-GB
2220,"James C. Collins, Jerry I. Porras",Built to Last: Successful Habits of Visionary Companies,Built to Last: Successful Habits of Visionary Companies,eng
2221,Allen Eskens,The Life We Bury,The Life We Bury,
2222,Eric Wilson,Fireproof,Fireproof,en-US
2223,Jack Higgins,The Eagle Has Landed,"The Eagle Has Landed (Liam Devlin, #1)",
2224,Laurell K. Hamilton,The Lunatic Cafe,"The Lunatic Cafe (Anita Blake, Vampire Hunter #4)",eng
2225,David Wong,John Dies at the End,"John Dies at the End (John Dies at the End, #1)",eng
2226,"Carl Sagan, Ann Druyan",The Demon-Haunted World: Science as a Candle in the Dark,The Demon-Haunted World: Science as a Candle in the Dark,eng
2227,Lucy Christopher,Stolen: A Letter to My Captor,Stolen: A Letter to My Captor,eng
2228,Stanisław Lem,Solaris,Solaris,eng
2229,Elizabeth Wurtzel,Prozac Nation,Prozac Nation,en-US
2230,Lloyd Alexander,The Black Cauldron,The Black Cauldron (The Chronicles of Prydain #2),eng
2231,Daniel J. Levitin,This Is Your Brain on Music: The Science of a Human Obsession,This Is Your Brain on Music: The Science of a Human Obsession,
2232,Mitch Albom,The First Phone Call from Heaven,The First Phone Call from Heaven,eng
2233,Augusten Burroughs,Possible Side Effects,Possible Side Effects,en-US
2234,Anna Quindlen,Still Life with Bread Crumbs,Still Life with Bread Crumbs,eng
2235,Agatha Christie,The ABC Murders,"The A.B.C. Murders (Hercule Poirot, #13)",eng
2236,Anonymous,Holy Bible: New International Version,Holy Bible: New International Version,eng
2237,J.R. Ward,Lover Reborn,"Lover Reborn (Black Dagger Brotherhood, #10)",eng
2238,Julia Quinn,The Duke and I,"The Duke and I (Bridgertons, #1)",en-US
2239,"Margaret Weis, Tracy Hickman",Dragons of Spring Dawning,"Dragons of Spring Dawning (Dragonlance: Chronicles, #3)",eng
2240,Lorraine Hansberry,A Raisin in the Sun,A Raisin in the Sun,
2241,Richard K. Morgan,Altered Carbon,"Altered Carbon (Takeshi Kovacs, #1)",eng
2242,Tom Clancy,The Sum of All Fears,"The Sum of All Fears (Jack Ryan Universe, #7)",
2243,A.J. Banner,,The Good Neighbor,eng
2244,"Brian K. Vaughan, Fiona Staples","Saga, Volume Two","Saga, Vol. 2 (Saga, #2)",eng
2245,Lee Child,The Enemy,"The Enemy (Jack Reacher, #8)",en-US
2246,Michael   Lewis,Flash Boys: A Wall Street Revolt,Flash Boys: A Wall Street Revolt,eng
2247,"Jean-Dominique Bauby, Jeremy Leggatt",Le Scaphandre et le Papillon,The Diving Bell and the Butterfly,en-US
2248,"Bill O'Reilly, Martin Dugard",Killing Kennedy: The End of Camelot,Killing Kennedy: The End of Camelot,eng
2249,John Grisham,,Rogue Lawyer,
2250,Bill Bryson,The Life and Times of The Thunderbolt Kid: A Memoir,The Life and Times of the Thunderbolt Kid,
2251,Chevy Stevens,Still Missing,Still Missing,en-US
2252,Frank McCourt,'Tis: A Memoir,"'Tis (Frank McCourt, #2)",eng
2253,Charles C. Mann,1491: New Revelations of the Americas Before Columbus,1491: New Revelations of the Americas Before Columbus,eng
2254,Marissa Meyer,Fairest,"Fairest (The Lunar Chronicles, #3.5)",eng
2255,Kay Redfield Jamison,An Unquiet Mind: A Memoir of Moods and Madness,An Unquiet Mind: A Memoir of Moods and Madness,eng
2256,Sarah  Young,,Jesus Calling: Enjoying Peace in His Presence,
2257,Edward Albee,Who's Afraid of Virginia Woolf?,Who's Afraid of Virginia Woolf?,eng
2258,Andrzej Sapkowski,Ostatnie życzenie,"The Last Wish (The Witcher, #1)",eng
2259,"Umberto Eco, William Weaver",Il pendolo di Foucault,Foucault's Pendulum,en-US
2260,Don Freeman,A Pocket for Corduroy,A Pocket for Corduroy,en-US
2261,"James Patterson, Maxine Paetro",The 5th Horseman,"The 5th Horseman (Women's Murder Club, #5)",
2262,Jacqueline Carey,Kushiel's Dart,"Kushiel's Dart (Phèdre's Trilogy, #1)",eng
2263,Eric Metaxas,"Bonhoeffer: Pastor, Martyr, Prophet, Spy","Bonhoeffer: Pastor, Martyr, Prophet, Spy",eng
2264,Janet Evanovich,Explosive Eighteen,"Explosive Eighteen (Stephanie Plum, #18)",eng
2265,Michael  Grant,Lies,"Lies (Gone, #3)",en-US
2266,A.W. Tozer,Pursuit of God,The Pursuit of God,
2267,Julie Kagawa,The Iron Knight,"The Iron Knight (The Iron Fey, #4)",eng
2268,Jacqueline Winspear,Maisie Dobbs,"Maisie Dobbs (Maisie Dobbs, #1)",en-US
2269,Raymond E. Feist,Magician,"Magician (The Riftwar Saga, #1-2)",eng
2270,Ann Brashares,Forever in Blue: The Fourth Summer of the Sisterhood,"Forever in Blue: The Fourth Summer of the Sisterhood (Sisterhood, #4)",eng
2271,Terry Pratchett,Feet of Clay,"Feet of Clay (Discworld, #19; City Watch, #3)",
2272,"Stieg Larsson, Reg Keeland","Män som hatar kvinnor, Flickan som lekte med elden, Luftslottet som sprängdes","The Millennium Trilogy (Millennium Trilogy, #1-3)",eng
2273,Dot Hutchison,The Butterfly Garden,The Butterfly Garden (The Collector #1),eng
2274,Tom Robbins,Skinny Legs and All,Skinny Legs and All,
2275,Jeaniene Frost,Destined for an Early Grave,"Destined for an Early Grave (Night Huntress, #4)",en-US
2276,R.K. Lilley,In Flight,"In Flight (Up in the Air, #1)",eng
2277,James Patterson,Cross,"Cross (Alex Cross, #12)",eng
2278,Meg Cabot,All-American Girl,"All-American Girl (All-American Girl, #1)",eng
2279,Bill Bryson,Neither Here Nor There: Travels in Europe,Neither Here nor There: Travels in Europe,en-US
2280,David Levithan,Boy Meets Boy,Boy Meets Boy,eng
2281,Wally Lamb,We Are Water,We Are Water,eng
2282,James Patterson,Max ,"Max (Maximum Ride, #5)",en-US
2283,Alexandra Adornetto,Halo,"Halo (Halo, #1)",en-US
2284,Kiran Desai,The Inheritance of Loss,The Inheritance of Loss,eng
2285,Raymond E. Feist,A Darkness at Sethanon ,"A Darkness At Sethanon (The Riftwar Saga, #4)",en-GB
2286,"Johann Wolfgang von Goethe, Burton Pike",Die Leiden des jungen Werthers,The Sorrows of Young Werther,eng
2287,Jeaniene Frost,At Grave's End,"At Grave's End (Night Huntress, #3)",en-US
2288,Alexandra Fuller,Don't Let's Go to the Dogs Tonight: An African Childhood,Don't Let's Go to the Dogs Tonight,eng
2289,Robin McKinley,Beauty: A Retelling of the Story of Beauty and the Beast,Beauty: A Retelling of the Story of Beauty and the Beast,eng
2290,Jonathan Safran Foer,Eating Animals,Eating Animals,eng
2291,"Angie Sage, Mark Zug",Flyte,"Flyte (Septimus Heap, #2)",en-US
2292,"سعود السنعوسي, Saud Alsanousi",ساق البامبو [Saq al-Bambu],ساق البامبو,ara
2293,Rae Carson,The Girl of Fire and Thorns,"The Girl of Fire and Thorns (Fire and Thorns, #1)",en-US
2294,Ann Aguirre,Enclave,"Enclave (Razorland, #1)",eng
2295,"Dava Sobel, Neil Armstrong",Longitude,Longitude: The True Story of a Lone Genius Who Solved the Greatest Scientific Problem of His Time,eng
2296,Patricia Cornwell,Unnatural Exposure,"Unnatural Exposure (Kay Scarpetta, #8)",en-GB
2297,"Johann Wolfgang von Goethe, Peter Salm",Faust. Eine Tragödie,Faust: First Part,eng
2298,James W. Loewen,Lies My Teacher Told Me : Everything Your American History Textbook Got Wrong,Lies My Teacher Told Me,eng
2299,Robin Hobb,Fool's Fate,"Fool's Fate (Tawny Man, #3)",
2300,"Joe Hill, Gabriel Rodríguez",Welcome to Lovecraft,"Locke & Key, Vol. 1: Welcome to Lovecraft",en-US
2301,Patrick Ness,The Ask and the Answer,"The Ask and the Answer (Chaos Walking, #2)",eng
